crossroad,veics
23,A
6,D
25,H
15,F
3,C
10,E
33,B
28,I
18,G
12,A
4,D
22,H
13,F
35,C
11,E
31,B
26,I
17,G
0,A
7,D
61,H
14,F
34,C
46,E
30,B
29,I
20,G
1,A
42,D
24,H
16,F
2,C
9,E
69,B
27,I
19,G
37,A
5,D
21,H
51,F
71,C
82,E
32,B
62,I
56,G
36,A
78,D
58,H
50,F
39,C
47,E
105,B
64,I
55,G
72,A
43,D
60,H
52,F
38,C
8,E
67,B
63,I
54,G
48,A
114,D
57,H
49,F
70,C
45,E
66,B
99,I
90,G
59,A
79,D
96,H
88,F
75,C
118,E
68,B
65,I
53,G
73,A
41,D
97,H
26,F
111,C
83,E
11,B
100,I
6,G
84,A
10,D
94,H
86,F
106,C
44,E
104,B
14,I
42,G
7,A
115,D
28,H
35,F
13,C
81,E
2,B
98,I
91,G
95,A
77,D
27,H
34,F
30,C
119,E
102,B
21,I
5,G
43,A
46,D
64,H
29,F
16,C
25,E
47,B
57,I
78,G
32,A
113,D
93,H
71,F
52,C
80,E
0,B
101,I
24,G
79,A
20,D
9,H
85,F
74,C
61,E
103,B
50,I
114,G
68,A
19,D
17,H
62,F
107,C
15,E
36,B
86,I
89,G
11,A
40,D
63,H
8,F
49,C
117,E
83,B
35,I
60,G
109,A
82,D
45,H
65,F
66,C
97,E
72,B
34,I
96,G
104,A
1,D
99,H
98,F
88,C
31,E
7,B
71,I
28,G
115,A
56,D
53,H
70,F
26,C
67,E
38,B
93,I
27,G
2,A
37,D
100,H
21,F
29,C
103,E
119,B
41,G
3,A
55,D
5,H
44,F
102,C
116,E
25,B
18,I
64,G
47,A
73,D
81,H
57,F
0,C
51,E
13,B
9,I
23,G
39,A
91,D
117,H
87,F
85,C
4,E
61,B
17,I
77,G
83,A
24,D
31,H
106,F
36,C
7,E
43,B
8,I
92,G
38,A
32,D
67,H
101,F
62,C
40,E
74,B
45,I
63,G
20,A
60,D
89,H
107,F
65,C
49,B
54,I
59,G
108,A
68,D
41,H
93,F
12,C
97,B
53,I
113,G
19,A
109,D
103,H
80,F
98,C
87,E
26,B
5,I
1,G
119,A
96,D
23,H
18,F
72,C
43,E
79,B
70,I
99,G
75,A
104,D
34,H
9,F
25,C
29,B
44,I
14,G
56,A
28,D
77,H
17,F
21,C
115,B
81,I
100,G
22,A
2,D
8,H
116,F
57,C
85,B
117,I
37,G
13,A
27,D
7,H
45,F
61,C
62,B
89,I
50,G
55,A
3,D
59,H
54,F
101,C
79,E
20,B
41,I
73,G
74,A
64,D
43,H
4,F
97,C
108,B
30,I
34,G
58,A
92,D
70,H
53,F
93,C
115,E
65,B
106,I
32,G
49,A
63,D
113,H
5,F
18,C
19,B
23,I
68,G
91,A
99,D
1,H
81,F
48,C
28,E
98,B
77,I
8,G
26,A
14,D
44,H
12,F
