crossroad,amount
C,1.0
C,4.0
C,1.8
C,0.9
C,7.2
C,8.0
C,2.0
C,4.0
C,10.0
B,4.5
B,6.3
B,2.6999999999999997
A,9.0
A,6.0
D,4.0
D,1.0
G,8.399999999999999
G,4.8
G,8.1
H,13.299999999999999
I,4.800000000000001
I,4.4
I,9.0
I,11.1
C,9.799999999999999
C,11.2
B,15.3
A,11.899999999999999
A,14.0
D,6.0
D,6.3
G,7.8
H,5.5
H,7.699999999999999
I,15.0
C,9.799999999999999
C,10.5
C,10.2
C,19.0
B,0.0
B,5.7
A,15.399999999999999
D,7.199999999999999
D,18.400000000000002
D,6.8999999999999995
D,6.8999999999999995
D,6.8999999999999995
D,6.8999999999999995
D,7.5
D,8.1
G,0.0
G,10.5
G,10.799999999999999
G,13.2
H,21.7
I,26.0
C,9.799999999999999
B,4.5
B,6.0
A,14.7
D,6.8999999999999995
G,8.7
G,9.6
G,11.4
H,31.499999999999996
I,13.799999999999999
C,11.2
B,5.1
B,6.8999999999999995
B,27.0
A,19.599999999999998
D,27.0
G,9.6
G,10.5
G,12.0
G,12.299999999999999
H,40.599999999999994
I,2.1
I,2.4
C,0.7
C,1.4
C,1.2000000000000002
C,2.8
C,3.5
C,3.5
C,4.8999999999999995
C,6.3
B,2.6999999999999997
B,4.2
B,7.2
A,14.0
D,18.900000000000002
G,2.6999999999999997
H,6.3
I,2.6999999999999997
C,7.699999999999999
C,11.2
B,8.5
A,18.900000000000002
D,4.5
D,6.3
D,11.4
G,4.8
G,4.8
H,4.8999999999999995
H,4.8999999999999995
H,4.8999999999999995
I,2.4
I,3.5999999999999996
I,4.2
I,5.3999999999999995
C,11.5
C,18.9
C,26.599999999999998
B,13.2
A,49.0
D,4.8
D,5.1
D,5.3999999999999995
D,6.0
D,6.3
D,6.8999999999999995
D,7.199999999999999
D,7.8
G,8.7
H,13.299999999999999
H,13.299999999999999
I,5.7
C,17.5
C,17.5
C,20.299999999999997
B,11.1
A,0.0
D,1.6
D,3.0
D,4.5
D,4.2
D,4.5
G,3.9
G,3.9
G,3.9
H,3.5
I,1.5
C,6.3
B,4.8
A,13.299999999999999
D,10.0
G,6.8999999999999995
G,6.3
G,5.7
G,11.899999999999999
G,11.2
H,11.899999999999999
I,4.2
C,4.2
C,14.4
B,17.0
A,11.2
D,8.0
D,6.8999999999999995
G,8.7
H,17.5
I,9.299999999999999
C,4.2
C,4.5
C,5.1
C,5.3999999999999995
C,5.7
C,5.7
C,6.0
C,6.0
C,18.400000000000002
C,18.400000000000002
C,0.0
C,17.5
C,16.799999999999997
C,16.799999999999997
B,7.199999999999999
B,8.1
B,10.5
B,12.299999999999999
A,32.199999999999996
D,15.0
G,18.599999999999998
H,21.7
I,12.0
C,4.2
B,3.9
B,4.8
B,5.7
A,14.0
A,14.7
A,15.399999999999999
A,15.399999999999999
D,7.199999999999999
D,8.7
G,10.5
H,23.099999999999998
H,24.5
I,11.1
I,11.4
C,11.2
C,15.399999999999999
B,6.6
B,8.1
A,17.5
A,17.5
D,8.1
G,10.5
G,11.4
G,11.1
G,9.9
H,18.9
I,4.2
C,8.0
C,17.5
B,7.199999999999999
B,7.199999999999999
B,24.0
A,17.5
D,8.4
G,13.799999999999999
H,3.5
H,2.1
H,5.6
I,2.4
I,3.0
I,3.5999999999999996
I,3.5999999999999996
I,3.9
I,4.2
C,11.2
B,5.3999999999999995
A,16.799999999999997
D,9.299999999999999
G,3.2
G,4.8
G,5.1
G,5.1
G,5.1
G,5.3999999999999995
G,0.0
G,5.7
G,6.0
H,7.699999999999999
I,3.0
I,11.0
C,6.6
C,10.5
C,16.099999999999998
B,6.8999999999999995
A,21.7
D,4.8
G,5.7
H,5.2
H,10.5
I,4.8
I,9.6
C,17.2
B,17.4
B,20.099999999999998
A,11.2
D,5.1
D,5.7
D,6.3
D,6.6
D,7.199999999999999
D,7.5
G,7.8
