crossroad,veics
15,F
18,G
10,E
33,B
25,H
4,D
28,I
3,C
1,A
13,F
17,G
11,E
31,B
22,H
6,D
26,I
35,C
12,A
14,F
20,G
8,E
30,B
61,H
7,D
29,I
34,C
0,A
16,F
19,G
9,E
69,B
24,H
42,D
27,I
71,C
23,A
51,F
56,G
46,E
32,B
21,H
5,D
62,I
2,C
37,A
49,F
54,G
47,E
67,B
60,H
78,D
64,I
39,C
36,A
52,F
55,G
44,E
66,B
58,H
43,D
65,I
38,C
72,A
88,F
91,G
83,E
105,B
96,H
41,D
63,I
75,C
48,A
50,F
53,G
82,E
68,B
57,H
79,D
99,I
111,C
59,A
26,F
90,G
45,E
104,B
94,H
114,D
100,I
70,C
95,A
86,F
6,G
118,E
103,B
28,H
77,D
14,I
13,C
84,A
35,F
42,G
81,E
102,B
93,H
115,D
98,I
106,C
7,A
29,F
24,G
119,E
11,B
27,H
113,D
21,I
30,C
43,A
85,F
5,G
80,E
0,B
64,H
20,D
101,I
16,C
73,A
34,F
78,G
117,E
47,B
9,H
10,D
50,I
49,C
32,A
71,F
60,G
31,E
2,B
17,H
19,D
57,I
52,C
79,A
62,F
41,G
15,E
36,B
63,H
46,D
86,I
66,C
68,A
8,F
114,G
67,E
72,B
97,H
56,D
93,I
88,C
115,A
70,F
96,G
25,E
83,B
99,H
40,D
107,C
104,A
65,F
77,G
116,E
7,B
45,H
1,D
35,I
26,C
11,A
98,F
28,G
103,E
38,B
53,H
55,D
34,I
102,C
109,A
21,F
27,G
51,E
43,B
81,H
37,D
9,I
29,C
3,A
101,F
89,G
61,E
13,B
117,H
91,D
71,I
0,C
47,A
57,F
64,G
97,E
79,B
31,H
82,D
18,I
85,C
39,A
106,F
23,G
4,E
119,B
67,H
73,D
8,I
36,C
20,A
107,F
59,G
40,E
49,B
5,H
24,D
17,I
62,C
2,A
44,F
92,G
7,E
26,B
100,H
32,D
45,I
65,C
19,A
93,F
113,G
43,E
25,B
103,H
68,D
54,I
74,C
56,A
80,F
63,G
79,E
115,B
41,H
60,D
53,I
98,C
83,A
9,F
14,G
61,B
77,H
104,D
70,I
21,C
75,A
116,F
1,G
29,B
89,H
96,D
81,I
101,C
38,A
4,F
37,G
97,B
34,H
109,D
106,I
12,C
13,A
18,F
50,G
85,B
7,H
3,D
107,I
57,C
119,A
87,F
99,G
115,E
20,B
23,H
28,D
117,I
72,C
55,A
17,F
100,G
62,B
8,H
39,D
90,I
110,C
108,A
45,F
73,G
65,B
59,H
27,D
5,I
25,C
49,A
40,F
32,G
74,B
43,H
64,D
41,I
93,C
111,A
54,F
34,G
98,B
70,H
92,D
44,I
61,C
91,A
6,F
68,G
87,E
19,B
113,H
63,D
77,I
97,C
26,A
53,F
104,G
28,E
21,B
33,H
14,D
89,I
9,C
22,A
81,F
8,G
101,B
79,H
2,D
30,I
48,C
29,A
117,F
109,G
56,B
1,H
50,D
66,I
18,C
58,A
90,F
3,G
55,B
115,H
118,D
23,I
17,C
24,A
5,F
70,G
6,E
108,B
106,H
15,D
102,I
20,C
85,A
41,F
39,G
33,E
57,B
37,H
99,D
80,I
45,C
60,A
12,F
95,G
64,E
91,B
73,H
75,D
59,I
54,C
62,A
28,F
86,G
22,B
44,H
38,D
113,I
53,C
96,A
77,F
2,G
110,B
32,H
51,D
4,I
81,C
27,A
48,F
106,G
58,B
68,H
87,D
1,I
19,C
16,A
89,F
7,G
33,B
30,H
6,D
116,I
117,C
92,A
20,F
43,G
93,B
104,H
100,D
56,C
65,A
23,F
15,G
24,B
66,H
111,D
0,I
55,C
74,A
59,F
79,G
22,E
18,B
102,H
29,D
36,I
90,C
98,A
64,F
75,G
58,E
17,B
109,H
86,D
12,I
108,C
21,A
113,F
44,G
54,B
3,H
76,D
37,I
5,C
101,A
10,F
38,G
60,B
80,H
7,D
40,I
41,C
57,A
46,F
51,G
9,B
4,H
43,D
48,I
77,C
110,A
1,F
30,G
53,B
69,H
16,D
73,I
89,C
63,A
56,F
87,G
100,E
96,B
22,H
79,D
20,I
23,C
93,A
6,G
45,B
39,H
112,D
32,I
91,C
14,A
115,G
10,E
90,B
116,H
13,D
68,I
84,C
50,A
42,F
66,G
46,E
92,B
11,H
65,D
72,I
59,C
94,A
78,F
111,G
9,E
58,H
49,D
104,I
24,C
99,A
37,F
26,G
69,E
89,B
0,H
74,D
28,I
113,C
34,A
114,F
102,G
45,E
23,B
105,H
8,D
109,I
1,C
86,A
73,F
29,G
76,E
14,B
95,H
10,D
3,I
60,C
7,A
100,F
80,G
81,B
36,H
46,D
56,I
96,C
70,A
4,G
11,E
59,B
2,H
101,D
19,I
27,C
43,A
84,F
16,G
112,E
50,B
40,H
115,D
39,I
18,A
82,F
62,G
42,E
69,B
9,H
85,D
55,I
92,C
79,A
109,F
116,G
13,E
94,B
72,H
110,D
95,I
14,C
17,A
65,G
105,E
117,B
75,H
44,D
